,hmean,smean,vmean,hmax,smax,vmax
1631,46.104546666666664,29.789646666666666,19.48532,200,162,115
1632,46.026293333333335,29.4726,18.292673333333333,200,169,121
1633,42.02914,28.10242,17.984373333333334,200,165,121
1634,54.31298666666667,34.23439333333334,21.238293333333335,200,165,121
1635,46.421,29.3175,18.41046,200,159,121
1636,40.36398666666667,24.805153333333333,15.936526666666667,200,158,121
1637,40.36398666666667,24.805153333333333,15.936526666666667,200,158,121
1638,42.487413333333336,27.120366666666666,16.6892,200,161,121
1639,34.21344666666667,21.987733333333335,13.653733333333333,200,158,121
1640,5.539993333333333,5.194726666666667,2.9717533333333335,200,193,121
1641,55.91436,53.490813333333335,27.551546666666667,200,200,121
1642,15.82182,15.0115,2.7759466666666666,200,193,89
1643,20.460953333333332,19.566786666666665,9.90044,197,191,118
1644,22.332886666666667,23.16704,4.32052,200,200,116
1645,7.5762,7.20878,3.811053333333333,200,197,121
1646,9.744306666666667,9.193706666666667,4.620826666666667,200,195,121
1647,15.995533333333332,15.14094,2.816386666666667,200,192,88
1648,20.5931,19.483293333333332,9.209153333333333,198,193,119
1649,22.407273333333332,23.253353333333333,4.360313333333333,200,204,124
1650,7.0359533333333335,6.714693333333333,3.5966,200,196,121
1651,9.908586666666666,9.30386,4.772546666666667,200,195,121
1652,56.436906666666665,54.21988,28.085193333333333,200,200,121
1653,16.060746666666667,15.231666666666667,2.8770466666666668,200,193,92
1654,21.887533333333334,20.654733333333333,9.69548,198,194,120
1655,19.61264,18.437166666666666,8.44238,200,194,120
1656,19.20908,17.95144,8.290846666666667,200,194,121
1657,18.104153333333333,16.84392,7.494046666666667,200,199,121
1658,19.378266666666665,17.73896,7.3811,198,192,118
1659,18.384613333333334,16.71728,6.423073333333333,198,191,118
1660,15.97632,14.811933333333334,5.0261,196,191,118
1661,9.418946666666667,8.198786666666667,2.96066,192,180,111
1662,9.60654,8.507326666666666,2.47142,189,182,108
1663,15.942433333333334,15.159246666666666,5.41716,200,197,104
1664,11.3719,9.944046666666667,3.5875266666666668,190,176,104
1665,11.947733333333334,10.498666666666667,3.6594,189,178,114
1666,11.537266666666667,10.131786666666667,3.529166666666667,189,179,112
1667,11.76218,10.462206666666667,2.9002066666666666,184,172,109
1668,11.787173333333334,10.51294,3.8123066666666667,200,197,120
1669,13.465466666666666,12.21824,4.49766,200,195,120
1670,13.554553333333333,12.317253333333333,4.55448,200,196,120
1671,8.910626666666667,7.95946,2.22736,200,200,120
1672,12.570346666666667,11.519373333333334,2.4633933333333333,200,200,101
1673,13.69358,12.671946666666667,2.7116266666666666,200,200,104
1674,66.91766,64.09067333333333,32.327846666666666,200,200,121
1675,14.24482,13.242613333333333,2.929866666666667,200,200,105
1676,14.820226666666667,13.839233333333333,3.2977866666666666,200,200,109
1677,15.09328,14.110273333333334,3.52066,200,200,109
1678,15.227413333333333,14.257686666666666,3.66208,200,200,115
1679,10.11096,9.178173333333334,3.5322533333333332,196,178,104
1680,9.722253333333333,8.984873333333333,3.5009466666666667,200,188,84
1681,10.200966666666666,9.200006666666667,3.1744266666666667,200,184,79
1682,10.1763,9.248486666666667,2.9340266666666666,200,186,64
1683,10.659826666666667,9.71258,3.0287733333333335,200,184,72
1684,21.894166666666667,22.245746666666665,7.166686666666667,200,185,80
1685,58.83750666666667,56.55752666666667,28.699886666666668,200,200,121
1686,13.410366666666667,12.243313333333333,2.147553333333333,200,187,53
1687,12.98026,11.881173333333333,1.8656466666666667,200,185,58
1688,13.455526666666668,12.253333333333334,1.85996,200,186,54
1689,8.991273333333334,8.391153333333333,2.97262,200,188,113
1690,7.267473333333333,6.8862733333333335,2.3582133333333335,200,191,115
1691,16.88156,14.593813333333333,2.7460666666666667,200,186,54
1692,10.33696,9.669273333333333,3.0015533333333333,200,191,110
1693,31.2918,28.69638,14.407913333333333,200,188,121
1694,32.07464,29.071393333333333,14.490253333333333,198,185,120
1695,14.909966666666667,13.667093333333334,1.8624866666666666,200,188,56
1696,58.83750666666667,56.55752666666667,28.699886666666668,200,200,121
1697,27.713033333333332,25.95552,12.643986666666667,199,192,120
1698,24.701666666666668,22.801153333333332,10.518906666666666,200,184,119
1699,29.542866666666665,27.36908,12.613193333333333,200,187,121
1700,11.52894,10.35428,3.6961,195,185,105
1701,11.940833333333334,11.0419,2.908586666666667,200,191,116
1702,13.68438,12.559593333333334,3.017306666666667,198,190,103
1703,11.993906666666666,10.745646666666667,3.9180333333333333,192,186,106
1704,13.017033333333334,11.608153333333334,4.313373333333334,192,183,108
1705,13.46894,12.398746666666666,3.3931533333333332,200,189,110
1706,14.955846666666666,13.752346666666666,3.2530466666666666,198,188,105
1707,58.225566666666666,54.57779333333333,30.771373333333333,200,200,121
1708,12.57922,11.28078,4.08514,191,184,108
1709,14.153006666666666,13.039833333333334,3.6838533333333334,199,189,110
1710,14.86688,13.674833333333334,3.127,195,184,105
1711,13.026533333333333,11.694046666666667,4.22828,189,182,108
1712,14.129006666666667,13.039246666666667,3.6124666666666667,200,188,111
1713,15.288353333333333,14.05308,3.2591533333333333,198,185,104
1714,13.065673333333333,11.70694,4.28364,190,181,109
1715,14.23956,13.1343,3.661713333333333,199,186,111
1716,15.191793333333333,14.002346666666666,3.1428866666666666,198,184,106
1717,9.400593333333333,8.209913333333333,4.5639666666666665,190,179,115
1718,57.81548,54.342393333333334,29.708,200,200,121
1719,13.37556,11.74642,6.375206666666666,197,184,115
1720,16.52152,14.61836,8.06204,199,184,120
1721,9.322373333333333,8.60036,2.099,194,184,118
1722,19.914093333333334,27.959253333333333,12.53276,195,181,125
1723,9.176253333333333,8.437646666666666,1.90512,192,183,115
1724,9.185006666666666,8.459046666666667,1.96738,194,184,116
1725,9.877186666666667,8.920606666666666,0.94384,191,175,81
1726,13.838746666666667,13.059593333333334,4.70222,195,184,115
1727,9.91968,9.159213333333334,2.6179133333333335,194,187,118
1728,18.618493333333333,20.11550666666667,8.524533333333334,195,184,125
1729,73.7766,69.33158,37.75186,200,200,121
1730,10.44618,9.66284,2.4004333333333334,194,186,116
1731,18.69458,24.7005,11.95788,196,184,133
1732,10.388386666666667,9.583453333333333,2.32836,194,185,118
1733,16.46604,28.566133333333333,11.192673333333333,185,174,86
1734,12.361026666666667,12.750773333333333,4.868433333333333,193,196,118
1735,8.099386666666666,7.4518,1.7168133333333333,194,183,117
1736,33.875013333333335,30.25086,6.768866666666667,200,183,53
1737,31.3422,28.97514,5.93862,200,184,72
1738,39.56321333333333,35.100926666666666,7.64568,200,182,50
1739,39.877806666666665,35.546573333333335,7.889246666666667,200,186,55
1740,55.738146666666665,53.29802,30.325866666666666,200,200,121
1741,41.19473333333333,36.66534,9.835286666666667,200,183,64
1742,19.872273333333332,17.899813333333334,9.656853333333334,200,200,121
1743,23.25364666666667,20.778053333333332,10.9479,200,200,121
1744,31.027786666666668,28.504373333333334,15.469026666666666,200,200,121
1745,28.073813333333334,25.90012,13.884513333333333,200,200,121
1746,18.548073333333335,17.529793333333334,9.784293333333334,200,200,121
1747,15.639313333333334,14.225713333333333,5.295646666666666,200,200,121
1748,18.378626666666666,16.77428,7.32314,200,200,121
1749,17.896046666666667,16.305206666666667,7.04946,200,200,121
1750,18.230753333333332,16.670886666666668,7.2619066666666665,200,200,121
1751,8.151526666666667,7.60646,4.1579266666666665,200,197,121
1752,73.87627333333333,69.69031333333334,38.21596666666667,200,199,119
1753,5.775966666666666,5.365033333333334,1.82922,200,200,121
1754,3.728353333333333,3.4937933333333335,1.3957666666666666,200,200,121
1755,6.754173333333333,6.21904,1.6899133333333334,200,189,120
1756,6.615586666666666,6.126273333333334,1.9713533333333333,200,193,118
1757,6.7692733333333335,6.211973333333333,1.8746333333333334,200,196,118
1758,6.905266666666667,6.375706666666667,1.9494933333333333,200,194,112
1759,7.37956,6.694093333333333,1.69822,200,193,118
1760,7.0129133333333336,6.44634,1.8963933333333334,200,190,113
1761,8.253126666666667,7.466693333333334,1.66422,200,188,120
1762,7.127466666666667,6.44086,1.6529533333333333,198,185,120
1763,60.63348,56.79719333333333,31.258533333333332,200,200,120
1764,7.446553333333333,6.7275,1.8535733333333333,200,188,121
1765,7.893713333333333,7.136006666666667,1.6883466666666667,200,187,118
1766,8.647373333333332,7.86268,1.5534333333333334,200,186,120
1767,7.60316,6.860673333333334,1.62748,200,193,109
1768,7.73376,6.96804,1.64714,200,188,117
1769,8.7566,8.0452,1.4269533333333333,200,190,113
1770,9.96356,9.0832,1.36444,200,192,120
1771,9.370493333333334,8.547813333333334,1.5068133333333333,200,191,120
1772,11.24424,10.21164,1.2805933333333333,200,192,118
1773,11.69818,10.664646666666666,1.32034,200,185,113
1774,46.91433333333333,43.861306666666664,23.37626,200,200,120
1775,7.82372,7.06584,1.43834,200,188,121
1776,12.381093333333334,11.25098,1.2582266666666666,200,186,112
1777,10.33168,9.45808,1.40688,200,188,121
1778,9.876706666666667,8.884633333333333,1.2636133333333333,200,190,119
1779,9.458906666666667,8.367353333333334,1.2137533333333332,200,190,120
1780,11.034686666666667,9.938546666666667,1.30304,200,184,109
1781,4.8294733333333335,4.346813333333333,0.9477533333333333,200,184,110
1782,4.479873333333333,4.036273333333333,0.9536533333333334,200,187,120
1783,13.132293333333333,11.949826666666667,1.20026,200,185,106
1784,4.382833333333333,3.94794,1.0729133333333334,200,187,115
1785,56.36448,53.17915333333333,28.499113333333334,200,200,119
1786,14.284706666666667,13.009273333333333,1.23128,200,187,101
1787,13.977873333333333,12.750086666666666,1.3099,200,185,106
1788,11.948613333333334,10.766713333333334,1.3610133333333334,200,183,106
1789,6.8704,6.2603,0.97272,200,189,110
1790,7.283033333333333,6.59554,1.17644,200,190,109
1791,18.17372,16.53566,1.2613,200,188,102
1792,7.25202,6.5578666666666665,1.2834066666666666,200,191,107
1793,11.034206666666666,10.138506666666666,0.8620933333333334,200,195,106
1794,7.2596,6.67952,0.9419866666666666,200,195,114
1795,37.62103333333334,33.67046666666667,8.462086666666666,200,193,121
1796,56.36448,53.17915333333333,28.499113333333334,200,200,119
1797,17.266913333333335,14.496006666666666,5.751146666666667,200,199,118
1798,38.00027333333333,32.59798,9.04026,200,192,118
1799,40.05342,35.843446666666665,8.98566,200,193,121
1800,18.941033333333333,16.060873333333333,6.09022,200,199,121
1801,38.78456666666667,33.18962,9.35114,200,189,120
1802,39.13376,33.51245333333333,9.295053333333334,200,188,120
1803,41.39758666666667,36.995686666666664,9.549626666666667,200,195,121
1804,20.072533333333332,17.054073333333335,6.1842,200,197,119
1805,39.665526666666665,33.90181333333334,9.341373333333333,200,190,121
1806,41.688246666666664,37.2918,9.594886666666667,200,192,121
1807,67.27143333333333,64.05147333333333,35.26208,200,200,121
1808,39.95748,34.29582,9.585833333333333,200,190,121
1809,40.20366,34.530993333333335,9.565206666666667,200,189,121
1810,40.33476,34.64237333333333,9.74636,200,187,121
1811,40.01452,34.24619333333333,9.502573333333334,200,188,121
1812,42.745846666666665,38.157713333333334,9.7482,200,194,121
1813,43.292926666666666,38.59586,9.899866666666666,200,192,121
1814,21.788033333333335,18.640226666666667,6.476486666666666,200,199,111
1815,22.242206666666668,18.977166666666665,6.7189733333333335,200,196,114
1816,43.48798,38.76788,9.99186,200,193,121
1817,43.74284,39.085053333333335,10.088086666666667,200,192,121
1818,55.94734666666667,52.408606666666664,27.51184,200,200,121
1819,22.156566666666667,18.91206,6.57634,200,196,116
1820,43.44962666666667,38.76374666666667,9.97338,200,195,121
1821,22.01298,18.844406666666668,6.597833333333333,200,197,114
1822,43.72428,39.03518,9.990693333333333,200,193,121
1823,21.895106666666667,18.78778,6.48108,200,198,115
1824,14.870833333333334,14.490533333333333,5.9488,200,200,121
1825,12.559286666666667,11.03094,3.9957333333333334,200,194,121
1826,12.590353333333333,10.99786,4.035453333333333,200,192,120
1827,11.806346666666666,10.417826666666667,3.262226666666667,195,184,118
1828,12.12414,10.6819,3.443286666666667,197,182,120
1829,32.75032,31.10112,16.741373333333332,200,200,121
1830,12.787833333333333,11.409486666666666,3.16134,193,181,116
1831,12.638826666666667,11.295953333333333,3.1272533333333334,190,179,115
1832,12.17646,10.686606666666666,3.7619933333333333,200,189,120
1833,12.779926666666666,11.186353333333333,4.0918133333333335,200,187,121
1834,11.91368,10.56192,3.36836,195,183,118
1835,11.75468,10.406246666666666,3.26322,197,184,120
1836,12.738906666666667,11.352786666666667,3.1734733333333334,191,179,116
1837,12.638973333333333,11.290053333333333,3.0945933333333335,192,180,116
1838,12.461046666666666,10.848393333333334,3.857753333333333,200,193,120
1839,11.939706666666666,10.572026666666666,3.39188,198,186,119
1840,73.75241333333334,69.37588,37.67432,200,200,121
1841,9.6544,9.534993333333333,4.063,200,188,112
1842,10.220593333333333,9.524146666666667,2.9438933333333335,200,189,113
1843,10.911186666666667,10.099326666666666,2.71564,200,188,113
1844,29.75918666666667,28.10594,4.810826666666666,200,191,94
1845,30.290686666666666,27.41008666666667,13.613386666666667,199,188,121
1846,24.637966666666667,22.579693333333335,11.621793333333333,196,185,119
1847,34.68401333333333,31.361193333333333,15.147206666666667,198,187,120
1848,22.748126666666668,20.950353333333332,9.963606666666667,197,189,120
1849,35.203986666666665,32.00358,15.926893333333334,199,189,121
1850,16.377386666666666,15.135433333333333,7.618353333333333,194,185,118
1851,59.701926666666665,56.00434,29.40524,200,199,121
1852,28.311453333333333,26.44727333333333,13.18568,200,191,120
